Dendrometer,Treatment,Date,Hour,Air temperature (°C),Perimeter (mm)
P12A10,Irrigated,01-06-2014,0,6.8671875,-0.002905846
P12A10,Irrigated,01-06-2014,1,6.40625,-0.004841805
P12A10,Irrigated,01-06-2014,2,6.90625,-0.004841805
P12A10,Irrigated,01-06-2014,3,7.13671875,-0.004841805
P12A10,Irrigated,01-06-2014,4,7.0078125,-0.004841805
P12A10,Irrigated,01-06-2014,5,7.4375,-0.005810738
P12A10,Irrigated,01-06-2014,6,7.390625,-0.003873825
P12A10,Irrigated,01-06-2014,7,7.125,-0.004841804
P12A10,Irrigated,01-06-2014,8,6.76171875,-0.005810737
P12A10,Irrigated,01-06-2014,9,6.5703125,-0.004841804
P12A10,Irrigated,01-06-2014,10,7.03125,-0.004841804
P12A10,Irrigated,01-06-2014,11,7.8828125,-0.002905845
P12A10,Irrigated,01-06-2014,12,10.390625,-0.001936912
P12A10,Irrigated,01-06-2014,13,16.57421875,-0.000968933
P12A10,Irrigated,01-06-2014,14,15.79296875,0.020334244
P12A10,Irrigated,01-06-2014,15,21.38671875,0.020334244
P12A10,Irrigated,01-06-2014,16,25.296875,0.019366265
P12A10,Irrigated,01-06-2014,17,22.8515625,0.011619569
P12A10,Irrigated,01-06-2014,18,17.37109375,0.000967981
P12A10,Irrigated,01-06-2014,19,11.2734375,-0.003873824
P12A10,Irrigated,01-06-2014,20,9.703125,-0.002905845
P12A10,Irrigated,01-06-2014,21,9.6171875,-0.003873824
P12A10,Irrigated,01-06-2014,22,8.4453125,-0.003873824
P12A10,Irrigated,01-06-2014,23,7.96875,-0.001936911
P12A10,Irrigated,02-06-2014,0,8.41796875,-0.002905844
P12A10,Irrigated,02-06-2014,1,7.9453125,-0.002905844
P12A10,Irrigated,02-06-2014,2,7.359375,-0.001936911
P12A10,Irrigated,02-06-2014,3,6.7578125,-0.002905844
P12A10,Irrigated,02-06-2014,4,6.12890625,-0.002905844
P12A10,Irrigated,02-06-2014,5,5.65234375,-0.002905844
P12A10,Irrigated,02-06-2014,6,5.5078125,-0.003873823
P12A10,Irrigated,02-06-2014,7,5.3125,-0.003873823
P12A10,Irrigated,02-06-2014,8,5.1796875,-0.002905844
P12A10,Irrigated,02-06-2014,9,5.09375,-0.002905844
P12A10,Irrigated,02-06-2014,10,6.125,-0.003873823
P12A10,Irrigated,02-06-2014,11,8.3125,-0.003873823
